,solddate,price,beds,baths,sqft,sqftlot,href
"Image for 118 Huntingtown Rd, Newtown, CT 06470 is not found","Sold - Aug 1, 2022","$750,000",4bed,2.5+bath,"2,352sqft",2acre lot,/realestateandhomes-detail/118-Huntingtown-Rd_Newtown_CT_06470_M39346-94685
"Image for 3 Saunders Ln, Ridgefield, CT 06877 is not found","Sold - Aug 1, 2022","$712,500",3bed,2bath,"2,436sqft",1.17acre lot,/realestateandhomes-detail/3-Saunders-Ln_Ridgefield_CT_06877_M45532-12053
"Image for 470 Fan Hill Rd, Monroe, CT 06468 is not found","Sold - Aug 1, 2022","$410,000",3bed,2bath,"2,163sqft",1.95acre lot,/realestateandhomes-detail/470-Fan-Hill-Rd_Monroe_CT_06468_M34258-02346
"Image for 1070 Knollwood Rd, White Plains, NY 10603 is not found","Sold - Jul 29, 2022","$725,000",3bed,2bath,"1,802sqft",1.11acre lot,/realestateandhomes-detail/1070-Knollwood-Rd_White-Plains_NY_10603_M41746-12058
"Image for 299 Westover Rd, Stamford, CT 06902 is not found","Sold - Jul 29, 2022","$695,000",3bed,1.5bath,"1,992sqft",1.27acre lot,/realestateandhomes-detail/299-Westover-Rd_Stamford_CT_06902_M44933-40205
"Image for 3756 North St, Fairfield, CT 06824 is not found","Sold - Jul 29, 2022","$700,000",3bed,2.5bath,"1,566sqft",2.43acre lot,/realestateandhomes-detail/3756-North-St_Fairfield_CT_06824_M34140-11787
"Image for 52 Columbine Dr, Trumbull, CT 06611 is not found","Sold - Jul 29, 2022","$425,000",4bed,2bath,"2,300sqft",1.08acre lot,/realestateandhomes-detail/52-Columbine-Dr_Trumbull_CT_06611_M42913-78210
"Image for 27 Irmgard Ln, Wilton, CT 06897 is not found","Sold - Jul 28, 2022","$649,000",3bed,3bath,"2,844sqft",1.34acre lot,/realestateandhomes-detail/27-Irmgard-Ln_Wilton_CT_06897_M35613-10760
"Image for 156 Twin Brook Ter, Monroe, CT 06468 is not found","Sold - Jul 28, 2022","$445,000",3bed,1bath,"1,200sqft",1acre lot,/realestateandhomes-detail/156-Twin-Brook-Ter_Monroe_CT_06468_M32238-95470
"Image for 235 Nod Rd, Ridgefield, CT 06877 is not found","Sold - Jul 28, 2022","$656,000",5bed,3.5+bath,"5,558sqft",2acre lot,/realestateandhomes-detail/235-Nod-Rd_Ridgefield_CT_06877_M43167-22383
"Image for 32 Seth Low Mountain Rd, Ridgefield, CT 06877 is not found","Sold - Jul 27, 2022","$645,000",4bed,2bath,"1,232sqft",1.01acre lot,/realestateandhomes-detail/32-Seth-Low-Mountain-Rd_Ridgefield_CT_06877_M36192-23777
"Image for 402 Pepper St, Monroe, CT 06468 is not found","Sold - Jul 27, 2022","$699,900",4bed,2.5bath,"2,942sqft",2.72acre lot,/realestateandhomes-detail/402-Pepper-St_Monroe_CT_06468_M32934-70984
"Image for 50 Maplewood Dr, Monroe, CT 06468 is not found","Sold - Jul 26, 2022","$485,000",3bed,2bath,"1,851sqft",1.1acre lot,/realestateandhomes-detail/50-Maplewood-Dr_Monroe_CT_06468_M40302-55934
"Image for 81 Vista Dr, Easton, CT 06612 is not found","Sold - Jul 26, 2022","$655,000",4bed,3bath,"2,268sqft",3acre lot,/realestateandhomes-detail/81-Vista-Dr_Easton_CT_06612_M36335-45455
"Image for 27 Sky Top Rd, Ridgefield, CT 06877 is not found","Sold - Jul 26, 2022","$270,000",3bed,1.5bath,"1,122sqft",1.16acre lot,/realestateandhomes-detail/27-Sky-Top-Rd_Ridgefield_CT_06877_M41072-61892
"Image for 5 Hollow Spring Rd, Norwalk, CT 06854 is not found","Sold - Jul 26, 2022","$621,600",5bed,2.5bath,"2,226sqft",1acre lot,/realestateandhomes-detail/5-Hollow-Spring-Rd_Norwalk_CT_06854_M38350-94009
"Image for 32 Blueberry Dr, Brewster, NY 10509 is not found","Sold - Jul 26, 2022","$350,000",2bed,1bath,"1,833sqft",1.17acre lot,/realestateandhomes-detail/32-Blueberry-Dr_Brewster_NY_10509_M43307-35447
"Image for 11 Werf Dr, Redding, CT 06896 is not found","Sold - Jul 26, 2022","$520,000",3bed,1.5bath,"1,248sqft",2.37acre lot,/realestateandhomes-detail/11-Werf-Dr_Redding_CT_06896_M44250-39957
"Image for 63 Pine Mountain Rd, Ridgefield, CT 06877 is not found","Sold - Jul 26, 2022","$680,000",2bed,2bath,"2,053sqft",1.98acre lot,/realestateandhomes-detail/63-Pine-Mountain-Rd_Ridgefield_CT_06877_M31844-82624
"Image for 106 Wyldewood Rd, Easton, CT 06612 is not found","Sold - Jul 25, 2022","$560,000",6bed,4.5+bath,"3,772sqft",3.06acre lot,/realestateandhomes-detail/106-Wyldewood-Rd_Easton_CT_06612_M35074-11612
"Image for 23 Great Hill Rd, Newtown, CT 06470 is not found","Sold - Jul 25, 2022","$725,000",4bed,2.5bath,"3,122sqft",2.32acre lot,/realestateandhomes-detail/23-Great-Hill-Rd_Newtown_CT_06470_M34701-74711
"Image for 34 Partrick Ln, Wilton, CT 06897 is not found","Sold - Jul 25, 2022","$590,000",2bed,2bath,"1,536sqft",2.52acre lot,/realestateandhomes-detail/34-Partrick-Ln_Wilton_CT_06897_M49891-81240
"Image for 2 Alpine Rd, Monroe, CT 06468 is not found","Sold - Jul 22, 2022","$620,000",4bed,2.5bath,"2,084sqft",1.02acre lot,/realestateandhomes-detail/2-Alpine-Rd_Monroe_CT_06468_M42300-01386
"Image for 37 Nashville Road Ext, Bethel, CT 06801 is not found","Sold - Jul 22, 2022","$640,000",3bed,2.5bath,"2,128sqft",1.45acre lot,/realestateandhomes-detail/37-Nashville-Road-Ext_Bethel_CT_06801_M42618-06384
"Image for 35 Granite Springs Rd, Granite Springs, NY 10527 is not found","Sold - Jul 22, 2022","$700,000",4bed,2bath,"2,362sqft",1.43acre lot,/realestateandhomes-detail/35-Granite-Springs-Rd_Granite-Springs_NY_10527_M49639-29910
"Image for 55 Joes Hill Rd, Danbury, CT 06811 is not found","Sold - Jul 21, 2022","$670,000",4bed,2.5bath,"3,095sqft",1.84acre lot,/realestateandhomes-detail/55-Joes-Hill-Rd_Danbury_CT_06811_M44318-79219
"Image for 122 Aunt Hack Rd, Danbury, CT 06811 is not found","Sold - Jul 21, 2022","$435,000",3bed,3bath,"1,518sqft",1.37acre lot,/realestateandhomes-detail/122-Aunt-Hack-Rd_Danbury_CT_06811_M43760-57803
"Image for 30 Nichols Rd, Brewster, NY 10509 is not found","Sold - Jul 20, 2022","$551,000",3bed,2bath,"2,566sqft",1.43acre lot,/realestateandhomes-detail/30-Nichols-Rd_Brewster_NY_10509_M48494-02834
"Image for 87 Sugarloaf Dr, Wilton, CT 06897 is not found","Sold - Jul 20, 2022","$700,000",3bed,2bath,"1,348sqft",1.15acre lot,/realestateandhomes-detail/87-Sugarloaf-Dr_Wilton_CT_06897_M40577-98431
"Image for 635 Booth Hill Rd, Shelton, CT 06484 is not found","Sold - Jul 20, 2022","$410,000",3bed,1.5bath,"1,296sqft",1.28acre lot,/realestateandhomes-detail/635-Booth-Hill-Rd_Shelton_CT_06484_M43565-59675
"Image for 15 Pebble Rd, Newtown, CT 06470 is not found","Sold - Jul 20, 2022","$505,100",3bed,2bath,"1,236sqft",1.02acre lot,/realestateandhomes-detail/15-Pebble-Rd_Newtown_CT_06470_M35535-79040
"Image for 581 Wood Rd, Mahopac, NY 10541 is not found","Sold - Jul 20, 2022","$675,000",3bed,3bath,"2,188sqft",1.18acre lot,/realestateandhomes-detail/581-Wood-Rd_Mahopac_NY_10541_M39561-57789
,"Sold - Jul 11, 2022","$605,000",3bed,2.5bath,"2,971sqft",2.26acre lot,/realestateandhomes-detail/46-Pheasant-Ridge-Rd_Redding_CT_06896_M43613-26384
,"Sold - Jul 11, 2022","$580,000",4bed,2bath,"2,576sqft",2acre lot,/realestateandhomes-detail/66-Peter-Rd_Brewster_NY_10509_M44109-68408
,"Sold - Jul 11, 2022","$760,000",5bed,3bath,"2,282sqft",1.01acre lot,/realestateandhomes-detail/27-Geneva-Rd_Norwalk_CT_06850_M34551-30460
"Image for 125 Picketts Ridge Rd, Redding, CT 06896 is not found","Sold - Jul 11, 2022","$740,000",3bed,3bath,"2,295sqft",6.82acre lot,/realestateandhomes-detail/125-Picketts-Ridge-Rd_Redding_CT_06896_M37823-68294
"Image for 53 Center Rd, Easton, CT 06612 is not found","Sold - Jul 8, 2022","$644,000",3bed,2.5bath,"2,708sqft",3acre lot,/realestateandhomes-detail/53-Center-Rd_Easton_CT_06612_M36294-31680
