,price,typ,lat,lon,beds,baths,sqft,zip code,locality
"4992 Albany Post Rd Staatsburgh, NY 12580","$489,000",SingleFamilyResidence,41.83456,-73.933342,3bd,Error,"2,480 sqft (on 2.50 acres)",12580,Staatsburgh
"37 Vienna Woods Rd Purling, NY 12470","$514,500",SingleFamilyResidence,42.282604,-74.035873,3bd,Error,"1,922 sqft (on 2.30 acres)",12470,Purling
"1 Marion Way Lagrangeville, NY 12540","$450,000",SingleFamilyResidence,41.665462,-73.7491,4bd,Error,"2,844 sqft (on 2.83 acres)",12540,Lagrangeville
"464 Masten Rd Pleasant Valley, NY 12569","$424,999",SingleFamilyResidence,41.769833,-73.768753,3bd,Error,"1,519 sqft (on 3.15 acres)",12569,Pleasant Valley
"1444 Bulls Head Rd Stanfordville, NY 12581","$449,900",SingleFamilyResidence,41.910393,-73.748436,3bd,Error,"1,250 sqft (on 5.30 acres)",12581,Stanfordville
"984 Netherwood Rd Hyde Park, NY 12538","$549,000",SingleFamilyResidence,41.787571,-73.834038,3bd,Error,"2,650 sqft (on 4.49 acres)",12538,Hyde Park
"15 Juniper Trl Mahopac, NY 10541","$549,000",SingleFamilyResidence,41.412827,-73.731621,4bd,Error,"2,088 sqft (on 2.27 acres)",10541,Mahopac
"482 Hearts Content Rd Purling, NY 12470","$395,000",SingleFamilyResidence,42.246761,-74.007271,2bd,Error,"1,922 sqft (on 41 acres)",12470,Purling
"213 County Route 14 Hudson, NY 12534","$550,000",SingleFamilyResidence,42.201633,-73.814926,2bd,Error,704 sqft (on 12.20 acres),12534,Hudson
"482 Hearts Content Rd Round Top, NY 12473","$395,000",SingleFamilyResidence,42.279518,-74.045174,2bd,Error,"1,922 sqft (on 41 acres)",12473,Round Top
"179 Nicholson Rd Holmes, NY 12531","$425,000",SingleFamilyResidence,41.524975,-73.692566,2bd,Error,840 sqft (on 2.28 acres),12531,Holmes
"14 Cream St Poughkeepsie, NY 12601","$225,000",SingleFamilyResidence,41.732372,-73.89843,2bd,Error,"1,193 sqft (on 4 acres)",12601,Poughkeepsie
"759 Centre Rd Staatsburg, NY 12580","$499,000",SingleFamilyResidence,41.853123,-73.813866,3bd,Error,"2,000 sqft (on 3.31 acres)",12580,Staatsburg
"132 Cardinal Rd Hyde Park, NY 12538","$289,000",SingleFamilyResidence,41.798092,-73.891418,3bd,Error,869 sqft (on 4 acres),12538,Hyde Park
"546 E Kerley Corners Rd Tivoli, NY 12583","$429,000",SingleFamilyResidence,42.043781,-73.807823,3bd,Error,"1,096 sqft (on 20 acres)",12583,Tivoli
"1185 Route 82 Hopewell Junction, NY 12533","$589,900",SingleFamilyResidence,41.60083,-73.792709,4bd,Error,"2,372 sqft (on 2.10 acres)",12533,Hopewell Junction
"445 White Schoolhouse Rd Rhinebeck, NY 12572","$569,000",SingleFamilyResidence,41.915871,-73.853813,4bd,Error,"2,440 sqft (on 4.68 acres)",12572,Rhinebeck
"8 Woodland Ct Wappingers Falls, NY 12590","$346,400",SingleFamilyResidence,41.571537,-73.923561,3bd,Error,"1,664 sqft (on 2.79 acres)",12590,Wappingers Falls
"463 Route 82 Hopewell Junction, NY 12533","$350,000",SingleFamilyResidence,41.570156,-73.840912,3bd,Error,"1,528 sqft (on 3.39 acres)",12533,Hopewell Junction
"153 Beach Rd Poughquag, NY 12570","$575,000",SingleFamilyResidence,41.628647,-73.675087,4bd,Error,"2,507 sqft (on 2.55 acres)",12570,Poughquag
"6 Farm View Rd Wappingers Falls, NY 12590","$423,700",SingleFamilyResidence,41.645435,-73.838608,4bd,Error,"2,080 sqft (on 2.55 acres)",12590,Wappingers Falls
"8083 Albany Post Rd Red Hook, NY 12571","$434,500",SingleFamilyResidence,42.028339,-73.847534,4bd,Error,"3,088 sqft (on 3.23 acres)",12571,Red Hook
"535 Stormville Mountain Rd Stormville, NY 12582","$599,000",SingleFamilyResidence,41.529953,-73.706284,5bd,Error,"4,011 sqft (on 10.60 acres)",12582,Stormville
"79 Lasher Ave Germantown, NY 12526","$499,000",SingleFamilyResidence,42.097939,-73.86776,3bd,Error,"1,867 sqft (on 10.36 acres)",12526,Germantown
"264 Ridge Rd Milton, NY 12547","$465,000",SingleFamilyResidence,41.637711,-73.978699,4bd,Error,"2,500 sqft (on 2.30 acres)",12547,Milton
"133 Churchland Rd Saugerties, NY 12477","$274,900",SingleFamilyResidence,42.07378,-73.98642,3bd,Error,"1,456 sqft (on 3 acres)",12477,Saugerties
"287 Norton Rd Red Hook, NY 12571","$415,000",SingleFamilyResidence,41.988224,-73.861816,2bd,Error,"1,052 sqft (on 2.39 acres)",12571,Red Hook
"69 Cedar Ln Hudson, NY 12534","$499,900",SingleFamilyResidence,42.171265,-73.826767,3bd,Error,"1,500 sqft (on 2 acres)",12534,Hudson
Error,Error,Error,Error,Error,,Error,Error,Error,Error
Error,Error,Error,Error,Error,,Error,Error,Error,Error
"400 Willow Tree Rd Milton, NY 12547","$129,999",SingleFamilyResidence,41.658981,-73.999367,5bd,Error,"1,582 sqft (on 2.10 acres)",12547,Milton
"371 Rossway Rd Pleasant Valley, NY 12569","$400,000",SingleFamilyResidence,41.730293,-73.775574,3bd,Error,"1,812 sqft (on 3.27 acres)",12569,Pleasant Valley
"742 Noxon Rd Poughkeepsie, NY 12603","$525,000",SingleFamilyResidence,41.644577,-73.818642,4bd,Error,"2,816 sqft (on 4.03 acres)",12603,Poughkeepsie
"532 Hicks Hill Rd Stanfordville, NY 12581","$595,000",SingleFamilyResidence,41.961105,-73.711998,4bd,Error,"2,456 sqft (on 5.11 acres)",12581,Stanfordville
"271 Hardenburgh Rd Ulster Park, NY 12487","$467,000",SingleFamilyResidence,41.831539,-74.038849,4bd,Error,"1,602 sqft (on 2.27 acres)",12487,Ulster Park
"99 Burger Rd Rhinebeck, NY 12572","$445,000",SingleFamilyResidence,41.916203,-73.88903,3bd,Error,"2,496 sqft (on 3 acres)",12572,Rhinebeck
"271 Tool House Rd Catskill, NY 12414","$525,000",SingleFamilyResidence,42.204487,-73.916718,3bd,Error,"1,794 sqft (on 8.15 acres)",12414,Catskill
"127 Cooper Dr Verbank, NY 12585","$525,000",SingleFamilyResidence,41.718014,-73.740395,4bd,Error,"3,430 sqft (on 2.22 acres)",12585,Verbank
"6 Windsor Hill Rd Highland, NY 12528","$499,000",SingleFamilyResidence,41.772568,-74.007652,4bd,Error,"2,400 sqft (on 8.99 acres)",12528,Highland
"20 New Hill Rd Putnam Valley, NY 10579","$575,000",SingleFamilyResidence,41.397503,-73.798515,4bd,Error,"2,415 sqft (on 4.59 acres)",10579,Putnam Valley
"255 Plutarch Rd Highland, NY 12528","$599,900",SingleFamilyResidence,41.747131,-74.037239,3bd,Error,"1,440 sqft (on 7.60 acres)",12528,Highland
"50 Skiba Rd Pine Plains, NY 12567","$550,000",SingleFamilyResidence,42.031391,-73.717979,3bd,Error,"1,939 sqft (on 2.58 acres)",12567,Pine Plains
"866 Hollow Rd Salt Point, NY 12578","$450,000",SingleFamilyResidence,41.845047,-73.817062,4bd,Error,"2,776 sqft (on 2.40 acres)",12578,Salt Point
"705 State Route 44/55 Highland, NY 12528","$575,000",SingleFamilyResidence,41.729931,-74.001213,4bd,Error,"2,865 sqft (on 5.60 acres)",12528,Highland
"705 State Route 44 #55 Highland, NY 12528","$575,000",SingleFamilyResidence,41.729931,-74.001213,4bd,Error,"2,865 sqft (on 5.60 acres)",12528,Highland
"229 Lily Lake Rd Highland, NY 12528","$570,000",SingleFamilyResidence,41.766964,-74.008774,3bd,Error,"2,704 sqft (on 2.40 acres)",12528,Highland
"1162 Duell Rd Stanfordville, NY 12581","$499,000",SingleFamilyResidence,41.870052,-73.689018,3bd,Error,"2,698 sqft (on 4.76 acres)",12581,Stanfordville
"706 Beekman Rd Hopewell Junction, NY 12533","$550,000",SingleFamilyResidence,41.600487,-73.738449,3bd,Error,958 sqft (on 4 acres),12533,Hopewell Junction
"5 Lena Ln Newburgh, NY 12550","$498,900",SingleFamilyResidence,41.560528,-74.034744,3bd,Error,"1,812 sqft (on 2 acres)",12550,Newburgh
"495 E Mountain Rd N Cold Spring, NY 10516","$475,000",SingleFamilyResidence,41.489128,-73.864037,3bd,Error,"1,512 sqft (on 6 acres)",10516,Cold Spring
"139 Timberwall Rd Saugerties, NY 12477","$449,000",SingleFamilyResidence,42.044743,-74.037407,3bd,Error,"1,248 sqft (on 2.20 acres)",12477,Saugerties
"241 Kidd Ln Tivoli, NY 12583","$279,400",SingleFamilyResidence,42.048431,-73.905701,3bd,Error,"1,008 sqft (on 5.06 acres)",12583,Tivoli
"65 Carman Dr Catskill, NY 12414","$589,900",SingleFamilyResidence,42.169491,-73.94577,4bd,Error,"6,600 sqft (on 5.10 acres)",12414,Catskill
"6 Scott Ln Lagrangeville, NY 12540","$570,000",SingleFamilyResidence,41.652386,-73.746231,4bd,Error,"2,832 sqft (on 2.22 acres)",12540,Lagrangeville
"205 Shenandoah Rd Hopewell Junction, NY 12533","$599,000",SingleFamilyResidence,41.542477,-73.808861,3bd,Error,"1,950 sqft (on 7.10 acres)",12533,Hopewell Junction
"269 Pancake Hollow Rd Highland, NY 12528","$199,000",SingleFamilyResidence,41.71925,-74.006393,11bd,Error,"1,316 sqft (on 7.50 acres)",12528,Highland
